seed,projection,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,pcr_pearson,pcr_spearman,eff_rank,wall_clock_seconds
39,screen_pca:2000,4039,1091,31,8,0.333634,0.322079,0.3517,0.332859,,213.9
39,hybrid:50,4039,1091,31,8,0.333336,0.324877,0.323152,0.314635,,216.1
39,bag:10,4039,1091,31,8,0.406548,0.385016,0.357548,0.348359,,223.5
40,pca,4044,1086,31,8,0.491784,0.476222,0.54542,0.533323,,118.4
40,pls,4044,1086,31,8,0.38293,0.393,0.351408,0.363202,100,163.8
40,pls_mm,4044,1086,31,8,0.40748,0.414655,0.351408,0.363202,100,212.5
40,screen_pca:2000,4044,1086,31,8,0.47267,0.438709,0.476003,0.435228,,215.4
40,hybrid:50,4044,1086,31,8,0.37601,0.373697,0.398301,0.367502,,217.7
40,bag:10,4044,1086,31,8,0.367328,0.350577,0.536065,0.523765,,224.9
41,pca,4091,1039,31,8,0.503754,0.483623,0.517789,0.499976,,125.9
41,pls,4091,1039,31,8,0.402141,0.418588,0.357702,0.382638,100,175.5
41,pls_mm,4091,1039,31,8,0.416318,0.431695,0.357702,0.382638,100,225.4
41,screen_pca:2000,4091,1039,31,8,0.436165,0.411731,0.447119,0.420298,,227.8
41,hybrid:50,4091,1039,31,8,0.325431,0.308562,0.031768,0.350557,,230.4
41,bag:10,4091,1039,31,8,0.429078,0.410678,0.536314,0.517208,,239.4
42,pca,4092,1038,31,8,0.44049,0.410392,0.446372,0.417552,,126.8
42,pls,4092,1038,31,8,0.35682,0.353278,0.345493,0.339454,100,172.9
42,pls_mm,4092,1038,31,8,0.394336,0.388362,0.345493,0.339454,100,218.1
42,screen_pca:2000,4092,1038,31,8,0.472453,0.450441,0.515105,0.493672,,221.2
42,hybrid:50,4092,1038,31,8,0.359513,0.341099,0.344205,0.347323,,223.6
42,bag:10,4092,1038,31,8,0.337224,0.314852,0.455385,0.426138,,230.6
43,pca,4058,1072,31,8,0.361219,0.337281,0.386159,0.363592,,117.5
43,pls,4058,1072,31,8,0.43316,0.439184,0.434705,0.425387,100,164.2
43,pls_mm,4058,1072,31,8,0.463645,0.465273,0.434705,0.425387,100,210.5
43,screen_pca:2000,4058,1072,31,8,0.457832,0.44233,0.434355,0.417471,,213.1
43,hybrid:50,4058,1072,31,8,0.227562,0.201944,0.020652,0.132519,,215.2
43,bag:10,4058,1072,31,8,0.310554,0.292854,0.394276,0.369862,,222.2
44,pca,4066,1064,31,8,0.488829,0.481697,0.500638,0.497637,,118.8
44,pls,4066,1064,31,8,0.32089,0.3343,0.274524,0.292188,100,168.1
44,pls_mm,4066,1064,31,8,0.352995,0.362338,0.274524,0.292188,100,217.5
44,screen_pca:2000,4066,1064,31,8,0.463687,0.458649,0.459436,0.455157,,220.0
44,hybrid:50,4066,1064,31,8,0.402035,0.403719,0.07937,0.389744,,222.2
44,bag:10,4066,1064,31,8,0.467089,0.4564,0.507503,0.502743,,229.6
45,pca,4058,1072,31,8,0.460883,0.45314,0.448958,0.440274,,117.9
45,pls,4058,1072,31,8,0.345301,0.342697,0.323924,0.315394,100,164.3
45,pls_mm,4058,1072,31,8,0.358593,0.353172,0.323924,0.315394,100,214.1
45,screen_pca:2000,4058,1072,31,8,0.473131,0.459866,0.448256,0.441697,,217.2
45,hybrid:50,4058,1072,31,8,0.364127,0.343697,-0.080223,0.329722,,219.4
45,bag:10,4058,1072,31,8,0.404385,0.397919,0.453844,0.443926,,226.4
46,pca,4073,1057,31,8,0.348584,0.321841,0.375989,0.346222,,126.7
46,pls,4073,1057,31,8,0.378567,0.370478,0.412517,0.385346,100,174.1
46,pls_mm,4073,1057,31,8,0.411572,0.397917,0.412517,0.385346,100,221.6
46,screen_pca:2000,4073,1057,31,8,0.355244,0.328705,0.401053,0.372697,,224.0
46,hybrid:50,4073,1057,31,8,0.209439,0.194865,0.046328,0.171974,,226.5
46,bag:10,4073,1057,31,8,0.340479,0.313032,0.38096,0.353869,,233.8
47,pca,4082,1048,31,8,0.472935,0.472945,0.430107,0.426326,,123.6
47,pls,4082,1048,31,8,0.44269,0.445856,0.435202,0.427719,100,171.9
47,pls_mm,4082,1048,31,8,0.459418,0.45942,0.435202,0.427719,100,220.5
47,screen_pca:2000,4082,1048,31,8,0.44209,0.431451,0.459552,0.452499,,223.2
47,hybrid:50,4082,1048,31,8,0.405571,0.397542,0.484305,0.480241,,225.6
47,bag:10,4082,1048,31,8,0.309584,0.303669,0.448662,0.445732,,233.0
48,pca,4088,1042,31,8,0.384255,0.356153,0.390863,0.365182,,125.5
48,pls,4088,1042,31,8,0.23169,0.220491,0.214486,0.202546,100,170.3
48,pls_mm,4088,1042,31,8,0.23777,0.224705,0.214486,0.202546,100,217.4
48,screen_pca:2000,4088,1042,31,8,0.393488,0.381091,0.405242,0.389921,,220.1
48,hybrid:50,4088,1042,31,8,0.343537,0.317138,0.150715,0.335922,,222.2
48,bag:10,4088,1042,31,8,0.371521,0.34407,0.393906,0.363591,,229.3
49,pca,4035,1095,31,8,0.396262,0.392464,0.45124,0.443078,,118.1
49,pls,4035,1095,31,8,0.386801,0.37571,0.353964,0.339977,100,162.1
49,pls_mm,4035,1095,31,8,0.396318,0.382749,0.353964,0.339977,100,207.9
49,screen_pca:2000,4035,1095,31,8,0.413588,0.413378,0.417919,0.417949,,210.3
49,hybrid:50,4035,1095,31,8,0.263368,0.260246,0.280561,0.276328,,212.6
49,bag:10,4035,1095,31,8,0.307595,0.289912,0.437121,0.431204,,220.1
50,pca,4049,1081,31,8,0.421846,0.408173,0.433969,0.424702,,116.7
50,pls,4049,1081,31,8,0.284259,0.277783,0.248602,0.232525,100,160.9
50,pls_mm,4049,1081,31,8,0.2995,0.289361,0.248602,0.232525,100,207.1
50,screen_pca:2000,4049,1081,31,8,0.397602,0.384661,0.371554,0.358759,,209.5
50,hybrid:50,4049,1081,31,8,0.288536,0.278482,0.08707,0.23867,,211.6
50,bag:10,4049,1081,31,8,0.349467,0.324733,0.43047,0.420222,,218.3
51,pca,4096,1034,31,8,0.413734,0.386854,0.46305,0.436599,,124.4
51,pls,4096,1034,31,8,0.444744,0.44629,0.416265,0.417216,100,171.5
51,pls_mm,4096,1034,31,8,0.460261,0.457751,0.416265,0.417216,100,219.7
51,screen_pca:2000,4096,1034,31,8,0.446856,0.428655,0.450673,0.435813,,222.3
51,hybrid:50,4096,1034,31,8,0.251917,0.222988,0.306301,0.268358,,224.8
51,bag:10,4096,1034,31,8,0.382244,0.35522,0.461456,0.434848,,233.0
52,pca,4072,1058,31,8,0.410706,0.408268,0.445316,0.445038,,125.8
52,pls,4072,1058,31,8,0.262121,0.282636,0.271863,0.270022,100,172.4
52,pls_mm,4072,1058,31,8,0.290773,0.308709,0.271863,0.270022,100,220.6
52,screen_pca:2000,4072,1058,31,8,0.264686,0.256945,0.263978,0.250945,,223.1
52,hybrid:50,4072,1058,31,8,0.308644,0.305648,-0.014456,0.224834,,225.2
